,Speed,Stimulation,Reaction_time
0,Fast,Control,3.88
1,Fast,Control,4.6
2,Fast,Control,2.56
3,Fast,Control,3.28
4,Fast,Control,3.46
5,Fast,Control,3.32
6,Fast,Control,2.34
7,Fast,Control,1.76
8,Fast,Control,1.7
9,Fast,Control,3.7
10,Slow,Control,6.24
11,Slow,Control,9.72
12,Slow,Control,2.42
13,Slow,Control,2.74
14,Slow,Control,3.64
15,Slow,Control,2.84
16,Slow,Control,2.26
17,Slow,Control,2.0
18,Slow,Control,2.42
19,Slow,Control,2.84
20,Fast,FES,6.2
21,Fast,FES,3.28
22,Fast,FES,2.28
23,Fast,FES,2.72
24,Fast,FES,1.98
25,Fast,FES,0.86
26,Fast,FES,1.78
27,Fast,FES,2.24
28,Fast,FES,1.92
29,Fast,FES,1.9
30,Slow,FES,4.18
31,Slow,FES,1.02
32,Slow,FES,1.2
33,Slow,FES,3.22
34,Slow,FES,2.26
35,Slow,FES,1.72
36,Slow,FES,2.26
37,Slow,FES,1.5
38,Slow,FES,1.36
39,Slow,FES,2.6
