,Speed,Stimulation,Reaction_time
0,Fast,Control,10.38
1,Fast,Control,16.9
2,Fast,Control,1.64
3,Fast,Control,3.62
4,Fast,Control,3.82
5,Fast,Control,1.68
6,Fast,Control,6.8
7,Fast,Control,0.84
8,Fast,Control,1.32
9,Fast,Control,1.42
10,Slow,Control,1.18
11,Slow,Control,1.2
12,Slow,Control,2.34
13,Slow,Control,5.06
14,Slow,Control,3.86
15,Slow,Control,4.6
16,Slow,Control,1.76
17,Slow,Control,1.78
18,Slow,Control,2.28
19,Slow,Control,1.16
20,Fast,FES,1.4
21,Fast,FES,1.4
22,Fast,FES,3.22
23,Fast,FES,0.88
24,Fast,FES,2.58
25,Fast,FES,3.0
26,Fast,FES,2.72
27,Fast,FES,0.46
28,Fast,FES,2.0
29,Fast,FES,1.48
30,Slow,FES,12.0
31,Slow,FES,1.86
32,Slow,FES,2.06
33,Slow,FES,2.1
34,Slow,FES,0.78
35,Slow,FES,1.16
36,Slow,FES,0.92
37,Slow,FES,1.5
38,Slow,FES,0.9
39,Slow,FES,0.76
